GeneID	ANNOTATION_SYMBOL	NAME	ISC	EB	EC	EE	VM
FBgn0037811	CG12592	-	1.023	0.318	0.117	0.065	0.050
FBgn0037812	CG18545	-	0.136	0.081	0.011	0.107	0.032
FBgn0037814	CG6325	-	0.896	0.962	1.271	1.038	1.001
FBgn0037815	CG4043	Rrp46	8.019	9.500	13.587	7.303	7.247
FBgn0037816	CG6345	-	1.093	1.076	1.593	0.991	1.114
FBgn0037817	CG14680	Cyp12e1	1.875	9.465	18.363	8.325	13.192
FBgn0037818	CG6465	-	5.479	4.456	6.670	6.050	5.002
FBgn0037819	CG14688	-	2.123	0.374	8.776	6.006	6.946
FBgn0037822	CG14683	-	31.724	35.897	23.514	14.255	21.339
FBgn0037824	CG14684	-	1.226	1.889	1.919	1.760	1.232
FBgn0037826	CG14689	-	0.005	0.002	0.000	0.006	0.000
FBgn0037827	CG4073	-	0.000	0.000	0.011	0.000	0.000
FBgn0037828	CG14690	tomboy20	0.013	0.000	0.000	0.000	0.007
FBgn0037829	CG14691	-	0.005	0.017	0.031	0.006	0.042
FBgn0037831	CG14685	Chromosome associated protein H2	0.284	0.223	0.416	0.300	0.198
FBgn0037832	CG14686	Desiccate	0.056	0.126	1.870	0.225	0.168
FBgn0037834	CG6554	Arginine methyltransferase 1	46.900	44.900	24.992	16.505	18.127
FBgn0037835	CG14687	-	0.058	0.083	0.032	0.149	2.261
FBgn0037836	CG14692	-	0.006	0.008	0.014	0.045	0.003
FBgn0037837	CG14693	-	0.762	2.279	3.140	2.077	1.750
FBgn0037838	CG4089	-	0.104	0.377	0.297	1.079	0.669
FBgn0037841	CG4565	-	0.009	0.018	0.028	0.023	0.009
FBgn0037842	CG6567	-	2.387	4.489	5.211	2.896	3.878
FBgn0037843	CG4511	-	17.963	13.002	14.669	9.983	11.688
FBgn0037844	CG4570	-	5.017	2.151	1.350	1.036	2.407
FBgn0037845	CG14694	-	0.816	0.385	1.638	1.886	5.850
FBgn0037846	CG6574	-	3.133	4.731	7.285	6.162	9.518
FBgn0037847	CG6584	SelR	1.889	1.893	2.905	2.456	2.324
FBgn0037848	CG4591	Tetraspanin 86D	1.682	3.811	3.198	0.972	1.539
FBgn0037849	CG4596	-	0.068	0.148	0.215	2.862	0.127
FBgn0037850	CG14695	-	9.069	2.323	8.894	4.515	3.788
FBgn0037852	CG6608	Thiamine pyrophosphate carrier protein 1	11.902	11.477	10.323	2.867	5.259
FBgn0037853	CG14696	-	96.457	71.233	34.832	4.015	18.708
FBgn0037855	CG6621	-	2.751	1.898	2.006	2.140	1.687
FBgn0037856	CG4674	-	2.051	3.840	2.825	1.145	1.368
FBgn0037857	CG4683	Testis EndoG-Like 4	0.000	0.006	0.008	0.004	0.000
FBgn0037860	CG6629	-	0.025	0.022	0.004	0.030	0.000
FBgn0037862	CG4706	-	0.006	0.006	0.007	0.000	0.000
FBgn0037870	CG18577	-	8.748	1.348	6.016	3.743	12.088
FBgn0037873	CG6666	Succinate dehydrogenase C	185.346	291.640	293.025	271.210	284.340
FBgn0037874	CG4800	Translationally controlled tumor protein ortholog (H. sapiens)	1972.926	1801.349	1804.552	976.554	1489.751
FBgn0037875	CG6672	-	13.763	16.004	16.675	13.549	14.725
FBgn0037876	CG4820	-	2.706	1.766	2.552	4.065	2.815
FBgn0037877	CG6689	-	4.411	2.804	3.521	4.965	2.590
FBgn0037878	CG6693	-	15.567	11.111	13.128	19.053	9.677
FBgn0037879	CG5106	SCP-containing protein C	1.786	1.165	0.795	4.534	1.441
FBgn0037880	CG17726	-	2.641	4.718	4.978	3.131	4.100
FBgn0037881	CG10703	-	3.756	4.412	5.329	7.271	4.519
FBgn0037882	CG17187	-	3.917	3.353	3.149	2.124	2.405
FBgn0037883	CG14701	-	7.953	12.291	6.056	5.289	7.665
FBgn0037884	CG17184	Arfaptin	2.901	3.913	3.699	3.874	3.088
FBgn0037885	CG17721	-	2.306	6.167	6.269	5.536	3.904
FBgn0037888	CG17210	SCP-containing protein B	0.018	0.019	0.009	0.036	0.652
FBgn0037889	CG5207	SCP-containing protein A	0.144	0.084	0.060	0.481	2.764
FBgn0037890	CG17734	-	44.515	46.613	53.437	51.908	35.746
FBgn0037891	CG5214	-	65.467	108.676	121.011	51.675	93.766
FBgn0037892	CG5242	mitochondrial ribosomal protein L40	39.078	50.912	47.320	28.166	28.070
FBgn0037894	CG5252	Ranbp9	5.077	6.181	4.742	2.685	3.116
FBgn0037895	CG6723	-	0.110	0.124	0.097	0.074	0.066
FBgn0037896	CG6728	ninaG	0.006	0.022	0.019	0.021	0.011
FBgn0037897	CG5270	-	0.259	0.352	0.511	0.697	0.549
FBgn0037898	CG18643	-	8.521	19.715	16.425	20.554	15.973
FBgn0037899	CG6764	Ribosomal protein L24-like	739.601	570.718	576.775	280.803	409.098
FBgn0037900	CG5276	-	3.463	3.434	3.554	5.000	4.790
FBgn0037901	CG6744	-	3.898	4.417	5.375	1.846	2.304
FBgn0037902	CG5281	-	0.358	0.242	0.863	4.828	0.051
FBgn0037906	CG14704	Peptidoglycan recognition protein LB	31.903	40.255	33.030	45.847	22.432
FBgn0037908	CG5308	dpr5	0.003	0.012	0.078	2.985	0.014
FBgn0037910	CG14708	-	0.003	0.036	0.246	0.011	0.014
FBgn0037911	CG10898	-	3.482	5.471	6.571	6.351	11.342
FBgn0037912	CG6782	scheggia	0.006	0.013	0.008	0.018	0.019
FBgn0037913	CG6783	fatty acid bindin protein	50.281	99.267	127.820	175.122	286.698
FBgn0037915	CG6790	-	0.022	0.046	0.013	0.009	0.010
FBgn0037916	CG5342	-	0.019	0.049	0.022	0.099	0.044
FBgn0037917	CG5344	whacked	14.329	12.226	12.065	11.248	10.472
FBgn0037918	CG6791	-	0.396	0.222	0.357	0.562	0.298
FBgn0037920	CG14710	-	0.438	0.668	0.892	2.381	0.912
FBgn0037921	CG6808	-	0.245	0.199	0.208	0.361	0.182
FBgn0037922	CG14711	-	0.441	0.445	0.349	0.635	0.319
FBgn0037923	CG6813	-	0.379	0.165	0.296	0.593	0.199
FBgn0037924	CG14712	-	0.782	0.737	0.643	0.688	0.563
FBgn0037926	CG10535	Elongator complex protein 1	6.932	4.664	4.521	2.681	1.985
FBgn0037930	CG14715	-	108.275	119.954	79.117	7.861	93.243
FBgn0037931	CG18476	-	1.037	1.000	1.006	1.404	0.851
FBgn0037933	CG14716	Heme oxygenase	13.556	14.100	25.167	32.482	24.498
FBgn0037934	CG6830	-	10.681	33.016	37.858	25.958	92.093
FBgn0037935	CG6834	-	1.279	7.934	5.442	14.273	6.877
FBgn0037936	CG6908	-	1.833	5.473	14.240	64.261	19.372
FBgn0037937	CG6913	48 related 3	0.041	0.129	0.867	0.191	0.228
FBgn0037938			0.000	0.009	0.000	0.011	0.000
FBgn0037939	CG14718	-	0.001	0.022	0.027	0.023	0.006
FBgn0037940	CG14720	-	0.024	0.030	0.192	0.122	0.190
FBgn0037941	CG12594	-	0.017	0.090	0.128	0.749	0.020
FBgn0037942	CG14721	-	0.293	0.544	0.523	0.401	0.219
FBgn0037943	CG14722	-	7.212	6.696	9.119	9.641	6.299
FBgn0037944	CG6923	-	0.110	0.167	0.196	0.220	0.125
FBgn0037949	CG17360	-	0.374	0.459	0.609	0.640	0.556
FBgn0037950	CG14723	Histamine-gated chloride channel subunit 1	0.177	0.085	0.089	0.357	0.134
FBgn0037955	CG6950	-	8.271	9.960	12.971	8.816	9.167
FBgn0037956	CG6959	-	1.175	0.341	0.399	0.708	0.851
FBgn0037958	CG6962	-	1.596	1.612	1.927	1.410	1.083
FBgn0037960	CG6965	methuselah-like 5	16.707	23.517	11.137	2.338	7.993
FBgn0037962	CG6971	-	0.066	0.086	0.133	0.032	0.018
FBgn0037963	CG6977	Cadherin 87A	1.552	0.800	0.686	0.675	0.655
FBgn0037964	CG14731	-	0.007	0.050	0.012	0.000	0.007
FBgn0037970	CG12201	-	0.627	0.831	2.034	3.238	4.461
FBgn0037972	CG10005	-	0.867	2.965	1.672	4.538	2.121
FBgn0037973	CG18547	-	38.048	76.815	100.101	141.690	106.498
FBgn0037974	CG12224	-	21.863	48.947	91.695	38.832	6.341
FBgn0037975	CG3397	-	13.171	38.589	46.013	28.826	0.012
FBgn0037976	CG14734	Tachykinin	18.001	1.219	5.654	4715.288	23.403
FBgn0037978	CG3571	-	0.841	2.156	1.441	1.899	1.317
FBgn0037979	CG3532	-	0.957	1.705	1.331	1.190	1.013
FBgn0037980	CG3313	-	1.033	2.275	1.319	0.906	1.304
FBgn0037981	CG3169	Spt3	4.734	5.187	4.219	2.172	2.780
FBgn0037985	CG14735	short spindle 5	0.005	0.020	0.004	0.018	0.000
FBgn0037986	CG14736	-	0.078	0.046	0.028	0.010	0.003
FBgn0037987	CG14739	-	0.179	0.034	0.000	0.000	0.000
FBgn0037988	CG14740	-	0.195	1.266	1.840	0.054	0.181
FBgn0037989	CG14741	-	0.187	0.229	0.442	0.036	0.067
FBgn0037992	CG4702	-	0.002	0.014	0.020	0.009	0.005
FBgn0037993	CG10095	dpr15	0.047	0.005	0.040	0.142	0.002
FBgn0037994	CG4810	-	0.004	0.000	0.000	0.000	0.002
FBgn0037995	CG3809	-	0.002	0.000	0.000	0.021	0.000
FBgn0037996	CG4830	-	0.097	0.105	3.419	3.821	1.479
FBgn0037997	CG14742	-	0.027	0.081	0.501	0.044	0.355
FBgn0037998	CG4848	-	4.039	3.601	5.295	3.912	4.554
FBgn0037999	CG4860	-	16.409	34.247	26.824	2.828	21.568
FBgn0038000	CG10014	-	0.000	0.013	0.044	0.126	0.013
FBgn0038001	CG17404	-	0.000	0.000	0.021	0.022	0.000
FBgn0038002	CG12256	-	0.000	0.000	0.000	0.004	0.000
FBgn0038003	CG3916	-	0.000	0.003	0.000	0.000	0.430
FBgn0038005	CG15807	Cyp313a5	0.001	0.028	0.002	0.036	0.000
FBgn0038006	CG10094	Cyp313a2	0.003	0.015	0.005	0.058	0.006
FBgn0038007	CG10093	Cyp313a3	0.000	0.005	0.014	0.077	0.004
FBgn0038008	CG3942	-	0.000	0.001	0.002	0.001	0.000
FBgn0038009	CG17738	-	11.453	122.606	4.995	6.603	26.139
FBgn0038011	CG4066	-	0.003	0.002	0.008	0.006	0.013
FBgn0038012	CG10013	-	0.006	0.035	0.020	0.020	0.013
FBgn0038013	CG10038	-	8.224	8.928	10.697	8.706	5.890
FBgn0038014	CG10041	-	4.138	6.803	2.663	4.905	4.753
FBgn0038016	CG10042	MBD-R2	4.972	4.131	3.670	5.753	2.897
FBgn0038017	CG4115	-	2.753	23.397	12.619	3.756	42.061
FBgn0038018	CG10090	Tim17a1	1.220	1.871	1.795	1.605	4.087
FBgn0038020	CG10091	Glutathione S transferase D9	673.673	652.215	449.745	198.649	609.344
FBgn0038028	CG10035	-	0.074	0.117	0.104	0.323	0.135
FBgn0038029	CG17639	Glutathione S transferase D11	0.199	0.846	0.352	0.560	14.757
FBgn0038032	CG10096	-	0.000	0.000	0.000	0.000	0.000
FBgn0038033	CG10097	-	0.000	0.000	0.000	0.000	0.000
FBgn0038034	CR17875	Cyp9f3Psi	2.872	7.121	9.373	25.351	19.736
FBgn0038035	CG17227	DNA ligase III	4.840	7.940	15.915	4.755	11.556
FBgn0038037	CG11466	Cyp9f2	27.081	98.214	188.500	161.685	354.864
FBgn0038038	CG5167	-	6.364	19.319	16.175	6.173	27.053
FBgn0038039	CG5196	-	6.442	7.947	8.221	13.963	5.090
FBgn0038042	CG5657	Sarcoglycan beta	0.127	0.653	1.167	44.067	0.746
FBgn0038043	CG17202	-	21.798	36.624	34.443	58.545	27.797
FBgn0038045	CG5232	Sialic acid phosphate synthase	0.037	0.037	0.046	0.078	0.033
FBgn0038046	CG5641	-	8.898	7.551	8.961	11.896	4.705
FBgn0038047	CG5245	-	0.057	0.179	0.115	0.278	0.092
FBgn0038049	CG5844	-	50.192	60.969	55.637	48.191	34.255
FBgn0038051	CG17207	-	0.002	0.039	0.038	0.092	0.077
FBgn0038052	CG5538	-	0.122	0.195	0.251	0.186	0.316
FBgn0038053	CG18549	-	13.227	14.034	15.887	43.123	11.501
FBgn0038054	CG5509	-	0.089	0.167	0.204	0.452	0.134
FBgn0038055	CG5333	toys are us	5.279	5.575	5.465	8.401	3.199
FBgn0038056	CG5961	-	3.413	3.374	5.443	6.095	4.507
FBgn0038057	CG12267	-	2.462	3.543	3.095	1.812	1.837
FBgn0038058	CG5608	-	2.800	4.138	5.301	10.843	6.440
FBgn0038063	CG33976	Octopamine beta2 receptor	0.450	0.144	0.244	0.700	0.166
FBgn0038065	CG6359	Sorting nexin 3	23.171	29.325	24.274	27.416	22.374
FBgn0038067	CG11598	-	0.406	0.509	0.269	0.192	0.287
FBgn0038068	CG11600	-	0.092	0.189	0.088	0.065	0.092
FBgn0038069	CG11608	-	0.032	0.067	0.033	0.017	0.117
FBgn0038070	CG6753	-	0.080	0.119	0.693	0.023	0.043
FBgn0038071	CG6234	-	38.489	23.624	36.724	3.099	7.684
FBgn0038072	CG6225	-	0.370	0.228	0.106	1.891	0.447
FBgn0038073	CG14395	-	0.015	0.016	0.010	0.065	0.007
FBgn0038074	CG6188	-	0.595	0.111	4.560	132.847	0.305
FBgn0038076	CG6802	Cyp313a4	0.172	0.114	0.305	0.620	2.288
FBgn0038078	CG14391	-	0.089	0.169	0.023	0.259	0.176
FBgn0038079	CG14394	Ninjurin C	0.108	0.688	1.748	1.499	1.727
FBgn0038080	CG12279	-	13.775	18.277	22.884	20.716	17.961
FBgn0038082	CG5724	-	1.614	3.870	9.407	9.022	15.098
FBgn0038083	CG5999	-	54.715	125.298	42.494	25.822	40.735
FBgn0038084	CG14390	beat-Vc	0.008	0.018	0.058	0.049	0.015
FBgn0038087	CG10134	beat-Va	0.051	0.034	0.024	0.033	0.032
FBgn0038088	CG10126	-	126.869	85.893	60.702	152.627	174.557
FBgn0038089	CG14387	davis-cup	0.032	0.034	2.698	0.207	0.279
FBgn0038090	CG10909	-	0.002	0.008	0.000	0.011	0.000
FBgn0038092	CG31298	beat-Vb	0.001	0.010	0.128	0.210	0.024
FBgn0038095	CG7241	Cyp304a1	0.066	0.046	0.063	0.146	0.381
FBgn0038097	CG14384	-	0.010	0.020	0.063	0.097	0.236
FBgn0038098	CG7381	-	0.189	0.835	1.831	11.084	6.513
FBgn0038099	CG7091	-	0.118	0.113	0.026	0.126	0.108
FBgn0038100	CG12358	polyA-binding protein interacting protein 2	62.682	41.543	53.069	67.584	80.969
FBgn0038102	CG14383	-	0.043	0.014	0.004	0.000	0.003
FBgn0038105	CG8063	yellow-f2	0.088	0.382	0.073	0.088	4.876
FBgn0038106	CG7488	-	13.739	10.885	14.256	12.064	11.587
FBgn0038107	CG17327	-	39.111	50.567	43.277	33.179	25.987
FBgn0038108	CG7518	-	0.640	0.328	0.574	0.552	0.395
FBgn0038109	CG11656	-	0.048	0.110	0.150	0.040	0.251
FBgn0038110	CG8031	-	11.388	21.390	33.128	38.170	31.692
FBgn0038111	CG12360	-	1.004	1.117	1.469	1.734	1.400
FBgn0038113	CG11668	-	0.231	0.570	1.215	2.567	1.232
FBgn0038114	CG11670	-	0.091	0.121	1.881	0.163	0.088
FBgn0038115	CG7966	-	6.588	4.851	21.906	19.197	20.818
FBgn0038118	CG7855	timeout	2.684	3.025	3.346	1.013	1.934
FBgn0038122	CG8138	-	0.137	0.010	0.044	0.010	0.009
FBgn0038123	CG8508	-	0.000	0.003	0.003	0.037	0.000
FBgn0038124	CG14380	-	0.008	0.000	0.000	0.000	0.000
FBgn0038125	CG8141	-	0.000	0.000	0.006	0.006	0.000
FBgn0038126	CG8483	-	0.360	3.366	0.504	5.344	5.065
FBgn0038127	CG8476	-	0.000	0.133	0.037	0.214	0.070
FBgn0038128	CG15889	Ravus	3.044	3.791	4.941	5.084	3.812
FBgn0038129	CG8449	-	0.113	0.127	0.198	0.124	0.113
FBgn0038130	CG8630	-	0.031	0.105	0.207	0.082	0.143
FBgn0038131	CG15888	-	0.000	0.003	0.004	0.000	0.002
FBgn0038132	CG15887	-	0.033	0.070	0.154	0.007	0.675
FBgn0038133	CG8644	Osiris 22	0.008	0.000	0.000	0.000	0.011
FBgn0038134	CG8458	wnt inhibitor of Dorsal	0.000	0.127	0.096	0.057	0.460
FBgn0038135	CG8773	-	3.762	1.769	33.010	2.624	88.512
FBgn0038136	CG8774	-	1.036	0.924	4.807	4.790	35.907
FBgn0038139	CG8795	Pyrokinin 2 receptor 2	0.001	0.002	0.000	0.013	0.001
FBgn0038140	CG8784	Pyrokinin 2 receptor 1	0.079	0.006	0.007	1.598	0.027
FBgn0038142	CG14379	Chemosensory protein A 87a	0.083	0.308	0.212	0.199	0.175
FBgn0038143	CG9813	-	0.423	0.551	2.370	2.530	0.997
FBgn0038144	CG8870	-	0.264	0.546	0.594	1.105	0.522
FBgn0038145	CG8863	DnaJ-like-2	34.170	26.728	33.955	36.651	23.737
FBgn0038146	CG9799	-	6.956	5.750	6.049	6.659	2.864
FBgn0038147	CG14375	CCHamide-2	0.975	0.515	2.007	3362.059	2.582
FBgn0038148	CG14377	-	0.027	0.038	0.028	4.455	0.064
FBgn0038149	CG9796	-	54.364	46.588	45.176	21.495	71.976
FBgn0038150	CG17045	yellow-e3	0.000	0.003	0.008	0.000	0.003
FBgn0038151	CG17044	yellow-e2	0.000	0.016	0.003	0.016	0.018
FBgn0038153	CG14376	Ionotropic receptor 87a	0.019	0.018	0.007	0.084	0.003
FBgn0038156	CG14372	-	0.049	0.033	0.041	0.280	0.106
FBgn0038157	CG12538	-	0.004	0.000	0.008	0.000	0.000
FBgn0038158	CG14370	-	0.000	0.000	0.000	0.000	0.000
FBgn0038159	CG14369	-	0.032	0.008	0.000	0.008	0.000
FBgn0038160	CG9759	-	0.036	0.162	0.108	0.016	0.220
FBgn0038161	CG9269	-	0.107	0.114	2.794	0.103	0.695
FBgn0038163	CG10841	-	0.165	0.092	0.110	0.068	0.080
FBgn0038165	CG9637	TWIK-related acid-sensitive K[+] channel 6	1.172	1.096	1.253	1.538	0.965
FBgn0038166	CG9588	-	13.724	17.339	16.079	15.675	18.637
FBgn0038167	CG9374	lkb1	0.283	0.268	0.403	0.494	0.319
FBgn0038168	CG9591	oocyte maintenance defects	7.920	7.758	6.774	5.078	5.083
FBgn0038170	CG14367	-	0.172	0.178	0.093	0.125	0.162
FBgn0038172	CG9621	Adenosine deaminase-related growth factor D	0.229	1.260	0.656	0.222	0.978
FBgn0038173	CG9345	Adenosine deaminase-related growth factor C	0.116	0.647	0.376	0.056	0.901
FBgn0038175	CG9602	-	0.003	0.035	0.030	0.009	0.048
FBgn0038179	CG9312	-	0.454	0.473	0.650	225.916	1.265
FBgn0038180	CG9307	Cht5	0.139	0.352	0.230	1.875	3.614
FBgn0038181	CG9297	-	0.021	0.070	0.023	0.253	0.130
FBgn0038183	CG9286	-	24.915	19.611	19.709	16.811	12.352
FBgn0038186	CG14362	-	0.006	0.000	0.004	0.000	0.011
FBgn0038188	CG9929	Arginine methyltransferase 9	0.002	0.016	0.002	0.000	0.003
FBgn0038189	CG9927	Arginine methyltransferase 6	0.007	0.007	0.008	0.002	0.000
FBgn0038190	CG9926	-	0.020	0.021	0.021	0.072	0.014
FBgn0038191	CG9925	-	0.089	0.259	0.280	0.104	0.065
FBgn0038194	CG3050	Cyp6d5	79.428	71.303	111.805	170.273	423.160
FBgn0038195	CG3061	-	43.561	42.168	45.710	37.988	39.518
FBgn0038196	CG9922	-	57.523	75.050	88.061	60.775	45.735
FBgn0038197	CG3143	"forkhead box, sub-group O"	5.173	3.720	4.113	6.549	4.281
FBgn0038198	CG3153	Niemann-Pick type C-2b	23.935	25.314	16.978	1646.603	90.887
FBgn0038199	CG14358	CCHamide-1	104.370	6.160	30.308	5193.080	49.554
FBgn0038200	CG9920	-	0.100	0.110	0.090	0.262	0.166
FBgn0038201	CG9918	Pyrokinin 1 receptor	0.004	0.068	0.022	0.233	0.026
FBgn0038202	CG12402	-	0.069	0.182	0.075	1.879	0.250
FBgn0038203	CG14360	Odorant receptor 88a	0.027	0.135	0.042	0.085	0.113
FBgn0038204	CG14357	-	0.000	0.012	0.016	0.000	0.000
FBgn0038205	CG9913	Kinesin family member 19A ortholog	0.032	0.071	0.095	0.169	0.052
FBgn0038206	CG3172	twinfilin	20.610	39.766	43.664	30.957	33.267
FBgn0038207	CG14356	-	2.629	17.676	2.006	1.053	108.184
FBgn0038208	CG14355	-	0.006	0.042	0.005	0.025	0.073
FBgn0038209	CG9722	-	0.026	0.027	0.028	0.075	0.012
FBgn0038210	CG3199	-	0.009	0.003	0.000	0.000	0.000
FBgn0038211	CG9649	-	0.141	1.224	0.149	0.096	5.958
FBgn0038213	CG9624	-	0.057	0.085	0.042	0.174	0.048
FBgn0038214	CG9616	-	0.180	0.033	0.406	0.125	0.007
FBgn0038217	CG14840	-	0.016	0.068	0.013	0.144	0.062
FBgn0038218	CG14841	-	0.094	0.255	0.073	0.256	0.224
FBgn0038219	CG14839	-	0.004	0.009	0.013	0.043	0.006
FBgn0038220	CG12207	-	2.997	2.753	4.023	5.525	3.108
FBgn0038221	CG3259	-	5.428	5.781	3.412	5.679	3.663
FBgn0038223	CG8538	Aftiphilin	0.090	0.127	0.173	0.175	0.178
FBgn0038224	CG3321	-	277.519	450.366	400.883	231.955	259.378
FBgn0038225	CG8489	scotti	1.020	0.944	0.533	0.971	0.786
FBgn0038233	CG8464	HtrA2	0.855	1.331	1.856	2.148	1.561
FBgn0038234	CG3351	mitochondrial ribosomal protein L11	26.375	36.305	35.161	19.247	19.431
FBgn0038235	CG8461	-	13.474	8.466	13.093	15.384	7.578
FBgn0038236	CG3360	Cyp313a1	0.012	0.026	0.024	0.094	0.019
FBgn0038237	CG8279	Phosphodiesterase 6	1.269	0.607	0.524	2.123	0.767
FBgn0038238	CG14854	-	0.074	0.337	0.086	0.112	0.440
FBgn0038239	CG14850	-	0.077	0.049	0.135	0.383	16.563
FBgn0038240	CG14851	-	0.059	0.106	0.000	0.139	0.186
FBgn0038241	CG8087	-	0.272	1.084	0.827	0.512	1.878
FBgn0038242	CG14852	-	1.134	0.696	0.972	1.248	2.392
FBgn0038243	CG8066	-	66.747	129.080	186.619	92.488	120.977
FBgn0038244	CG7987	-	4.737	4.272	4.594	2.301	2.362
FBgn0038246	CG14853	-	0.008	0.006	0.024	0.050	0.020
FBgn0038247	CG3389	Cadherin 88C	0.120	0.036	0.553	0.229	0.062
FBgn0038248	CG7886	-	0.185	0.288	0.180	0.241	0.154
FBgn0038250	CG3505	-	0.943	8.692	2.419	1.109	9.497
FBgn0038251	CG3508	HEXIM ortholog	3.588	2.467	2.088	3.279	3.107
FBgn0038252	CG3509	-	0.063	0.045	0.059	0.728	0.179
FBgn0038256	CG7530	-	13.098	7.247	5.466	1.869	9.582
FBgn0038257	CG7390	Senescence marker protein-30	7.024	12.899	13.388	299.807	233.157
FBgn0038258	CG7362	-	0.203	0.018	0.081	0.060	0.020
FBgn0038260	CG14855	-	4.177	6.371	2.828	4.024	1.492
FBgn0038261	CG14856	-	0.345	0.708	0.389	1.436	0.321
FBgn0038262	CG14857	-	0.008	0.064	0.018	0.082	0.256
FBgn0038266	CG3610	-	0.000	0.011	0.002	0.007	0.000
FBgn0038267			0.029	0.031	0.013	0.033	0.029
FBgn0038268	CG3631	-	0.546	0.851	0.970	0.701	0.665
FBgn0038269	CG7292	Rrp6	3.818	2.620	3.091	2.311	2.366
FBgn0038271	CG3731	-	62.692	76.360	86.849	67.816	75.252
FBgn0038272	CG7265	-	20.527	20.394	21.536	18.904	13.111
FBgn0038273	CG14860	-	0.435	0.249	0.436	0.125	0.106
FBgn0038274	CG7262	Nucleoporin 93kD-2	4.740	5.123	4.926	2.331	3.640
FBgn0038275	CG3817	-	67.246	47.756	45.297	35.120	25.329
FBgn0038277	CG7014	Ribosomal protein S5b	0.242	0.784	0.495	0.393	1.281
FBgn0038279	CG3837	Secreted decoy of InR	0.089	0.009	0.036	0.011	0.013
FBgn0038280	CG14861	-	0.000	0.000	0.000	0.000	0.000
FBgn0038281	CG3843	Ribosomal protein L10Aa	0.000	0.020	0.005	0.112	0.005
FBgn0038282	CG33485	dpr9	0.491	0.413	0.333	1.374	0.495
FBgn0038285	CG6974	-	0.538	0.503	0.090	0.291	0.497
FBgn0038286	CG6966	-	7.515	9.070	10.127	16.335	16.967
FBgn0038290	CG6912	-	83.296	1.459	0.667	4.168	0.713
FBgn0038291	CG3984	-	2.859	0.250	1.482	0.692	0.264
FBgn0038292	CG3987	-	46.581	166.902	267.787	241.366	116.383
FBgn0038293			1.375	2.712	1.878	3.449	2.987
FBgn0038294	CG6803	Myofilin	0.027	0.096	0.328	0.085	1.873
FBgn0038295	CG4154	Guanylyl cyclase at 88E	0.014	0.007	0.014	0.811	0.015
FBgn0038296	CG6752	-	0.061	0.053	0.047	0.166	0.018
FBgn0038299	CG6687	Serpin 88Eb	0.045	0.087	0.011	0.016	0.022
FBgn0038300	CG4203	-	1.935	1.427	1.529	0.684	1.390
FBgn0038301	CG6654	-	1.347	1.481	1.624	1.517	1.211
FBgn0038302	CG4210	-	16.037	20.189	9.817	7.958	13.362
FBgn0038303	CG6623	Shal Interactor of Di-Leucine Motif	1.956	2.069	2.418	1.735	1.849
FBgn0038304	CG12241	-	1.261	1.926	2.783	9.594	2.314
FBgn0038306	CG6563	Arginine methyltransferase 3	2.625	1.841	2.538	0.997	0.651
FBgn0038307	CG4247	mitochondrial ribosomal protein S10	13.071	29.734	21.669	19.559	13.048
FBgn0038309	CG6499	-	0.097	0.114	0.087	0.175	0.103
FBgn0038311	CG14864	-	0.093	0.552	0.906	0.388	0.492
FBgn0038312	CG4334	-	0.629	1.611	2.151	3.459	2.481
FBgn0038313	CG4338	-	18.578	32.120	30.946	30.951	20.088
FBgn0038315	CG14866	-	0.030	0.061	0.019	0.073	0.131
FBgn0038316	CG6276	-	3.599	3.799	5.134	7.564	3.502
FBgn0038318	CG6236	-	3.016	3.885	4.468	5.778	2.737
FBgn0038319	CG31478	mitochondrial ribosomal protein L9	20.933	41.760	50.623	41.551	33.579
FBgn0038320	CG4931	specifically Rac1-associated protein 1	1.137	1.306	1.306	0.657	1.098
FBgn0038321	CG6218	-	2.050	5.602	5.647	47.933	9.150
FBgn0038323	CG6196	-	5.750	3.679	8.505	10.975	4.854
FBgn0038324	CG5038	-	0.752	0.878	1.013	0.738	0.672
FBgn0038325	CG6194	-	5.336	8.371	6.418	2.868	8.838
FBgn0038326	CG5044	-	0.977	0.969	1.127	0.883	0.628
FBgn0038327	CG5063	Translin associated factor X	5.383	6.199	6.128	9.348	4.646
FBgn0038330	CG14868	-	1.923	2.781	5.171	58.612	2.792
FBgn0038331	CG5073	-	19.029	33.154	40.101	20.007	53.219
FBgn0038332	CG6136	-	0.536	0.817	0.789	1.111	0.794
FBgn0038334	CG6130	heineken-cup	0.000	0.002	0.000	0.017	0.000
FBgn0038337	CG6125	-	0.105	0.087	0.087	0.347	1.375
FBgn0038339	CG6118	-	0.030	0.007	0.049	0.014	0.011
FBgn0038341	CG14869	ADAM metallopeptidase with thrombospondin type 1 motif A	0.177	0.055	0.023	0.035	0.071
FBgn0038342	CG14870	-	0.018	0.008	0.000	0.006	0.005
FBgn0038343	CG14871	Trissin	0.111	1.021	0.247	0.432	0.533
FBgn0038344	CG5205	-	1.955	3.215	1.536	1.780	1.667
FBgn0038345	CG5213	-	0.134	0.010	0.021	0.100	0.040
FBgn0038346			77.666	278.430	179.933	323.757	399.288
FBgn0038347	CG18522	-	24.213	38.744	85.838	69.656	126.379
FBgn0038348	CG18519	-	0.076	0.263	0.089	0.113	0.230
FBgn0038349	CG6045	-	3.913	9.236	9.106	9.158	17.279
